Crops,Varieties,Season,Growth,Harvest,Market,District,Day,Month,Year,Min Price(Rs./Quintal),Max Price(Rs./Quintal),Modal Price(Rs./Quintal)
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,11,December,2020,1333,1604,1466
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,14,December,2020,1333,1593,1433
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,15,December,2020,1360,1601,1466
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,16,December,2020,1333,1666,1493
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,17,December,2020,1333,1733,1467
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,18,December,2020,1306,1613,1466
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,19,December,2020,1393,1706,1493
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,21,December,2020,1380,1720,1553
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,22,December,2020,1333,1733,1480
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,23,December,2020,1358,1594,1480
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,24,December,2020,1346,1706,1600
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,28,December,2020,1420,1713,1586
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,29,December,2020,1535,1725,1600
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,30,December,2020,1400,1706,1653
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,31,December,2020,1528,1720,1600
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,12,November,2021,1666,1666,1666
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,15,November,2021,1600,1773,1680
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,16,November,2021,1600,1694,1673
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,17,November,2021,1560,1800,1680
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,18,November,2021,1600,1694,1673
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,19,November,2021,1666,1720,1720
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,20,November,2021,1600,1866,1733
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,23,November,2021,1600,1868,1700
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,24,November,2021,1602,1681,1666
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,25,November,2021,1600,1893,1733
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,26,November,2021,1623,2040,2000
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,29,November,2021,1587,2008,1666
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,30,November,2021,1467,1933,1666
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,1,December,2021,1573,1809,1693
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,2,December,2021,1580,1808,1666
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,3,December,2021,1600,1760,1666
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,4,December,2021,1587,2019,1933
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,6,December,2021,1600,1936,1733
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,7,December,2021,1628,1933,1700
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,8,December,2021,1600,1740,1693
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,9,December,2021,1600,1849,1761
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,10,December,2021,1580,1936,1733
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,13,December,2021,1520,1997,1800
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,14,December,2021,1533,1947,1666
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,15,December,2021,1400,1840,1673
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,16,December,2021,1547,1969,1666
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,17,December,2021,1567,1784,1653
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,18,December,2021,1607,1795,1686
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,20,December,2021,1600,1800,1680
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,21,December,2021,1587,2000,1666
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,22,December,2021,1613,1879,1720
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,23,December,2021,1600,1904,1706
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,24,December,2021,1540,2040,1713
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,27,December,2021,1600,1812,1800
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,28,December,2021,1553,1840,1720
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,29,December,2021,1613,2000,1800
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,30,December,2021,1627,1933,1733
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,31,December,2021,1627,1852,1680
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,2,November,2022,1866,2026,1985
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,3,November,2022,2000,2120,2086
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,4,November,2022,1913,1913,1913
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,5,November,2022,2000,2120,2066
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,7,November,2022,1987,2107,2066
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,8,November,2022,1800,2067,1994
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,9,November,2022,2013,2107,2086
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,10,November,2022,2000,2133,2053
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,14,November,2022,1933,2160,2086
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,15,November,2022,2000,2093,2053
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,16,November,2022,1940,2080,1973
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,17,November,2022,1940,2107,2066
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,19,November,2022,1987,2100,2042
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,21,November,2022,2000,2133,2080
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,22,November,2022,1973,2232,2066
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,23,November,2022,1933,2139,2086
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,24,November,2022,2013,2200,2133
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,25,November,2022,1933,2215,2120
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,28,November,2022,1867,2129,1980
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,29,November,2022,1867,2104,2020
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,30,November,2022,1920,2120,2000
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,1,December,2022,1973,2200,2040
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,2,December,2022,1948,2067,2067
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,3,December,2022,1961,2033,2020
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,5,December,2022,1933,2120,2073
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,6,December,2022,1973,2227,2073
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,7,December,2022,1947,2120,2026
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,8,December,2022,2000,2180,2133
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,9,December,2022,2047,2267,2080
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,12,December,2022,2000,2227,2133
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,13,December,2022,1900,2140,2080
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,14,December,2022,2000,2180,2100
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,15,December,2022,2020,2140,2080
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,16,December,2022,1947,2200,2100
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,17,December,2022,2093,2317,2120
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,19,December,2022,2027,2253,2106
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,20,December,2022,2080,2267,2173
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,21,December,2022,2027,2267,2133
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,22,December,2022,2000,2304,2140
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,23,December,2022,2000,2336,2133
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,26,December,2022,2000,2304,2200
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,27,December,2022,2000,2300,2160
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,28,December,2022,2067,2373,2200
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,29,December,2022,2000,2333,2160
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,30,December,2022,2093,2351,2133
Paddy,Sona Masuri New,Kharif,June-July,October-November,Gangavati,Koppal,31,December,2022,2000,2200,2109
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,2,June,2020,1400,2000,1700
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,3,June,2020,1650,1950,1650
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,4,June,2020,1740,1950,1800
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,5,June,2020,1800,2200,2200
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,6,June,2020,1800,2200,2200
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,8,June,2020,1700,1900,1800
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,10,June,2020,1800,1800,1800
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,11,June,2020,1750,1750,1750
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,12,June,2020,1600,1870,1870
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,13,June,2020,1500,1950,1500
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,16,June,2020,1750,1800,1800
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,17,June,2020,1800,1950,1850
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,18,June,2020,1800,1800,1800
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,19,June,2020,1430,1850,1500
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,20,June,2020,1600,1950,1850
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,22,June,2020,1650,1850,1650
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,23,June,2020,1800,1800,1800
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,24,June,2020,1600,1850,1600
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,25,June,2020,1900,1900,1900
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,27,June,2020,1500,2200,1800
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,29,June,2020,1500,1750,1750
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,30,June,2020,1600,1850,1850
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,6,July,2020,1650,1800,1700
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,9,July,2020,1600,1600,1600
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,13,July,2020,1600,2200,2200
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,15,July,2020,1600,1900,1900
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,16,July,2020,1900,1900,1900
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,17,July,2020,1700,1850,1850
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,20,July,2020,1725,2200,2200
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,21,July,2020,1870,2000,2000
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,22,July,2020,1800,1850,1800
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,23,July,2020,1700,1700,1700
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,28,July,2020,1800,1800,1800
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,29,July,2020,1700,1850,1850
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,30,July,2020,1700,2200,2200
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,31,July,2020,1800,1800,1800
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,5,June,2021,1550,1550,1550
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,9,June,2021,1500,1700,1680
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,10,June,2021,1500,1680,1600
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,14,June,2021,1500,1700,1680
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,21,June,2021,1680,1680,1680
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,22,June,2021,1500,1680,1500
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,23,June,2021,1500,1700,1680
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,29,June,2021,1500,1700,1700
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,8,July,2021,1600,1700,1600
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,12,July,2021,1500,1700,1680
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,16,July,2021,1600,1700,1680
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,17,July,2021,1600,1700,1700
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,23,July,2021,1850,1850,1850
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,29,July,2021,1500,1700,1680
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,30,July,2021,1600,1700,1680
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,31,July,2021,1650,1680,1650
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,14,June,2022,1600,2100,1900
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,15,June,2022,1600,1900,1900
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,16,June,2022,1600,2100,1900
Paddy,Sanna Bhatta,Rabi,November-December,April-May,Mundagod,Uttara Kannada,16,August,2022,1850,1850,1850
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,6,November,2020,17000,28000,22000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,9,November,2020,17000,29000,21000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,13,November,2020,17000,29000,21000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,18,November,2020,17000,29000,25000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,19,November,2020,16000,23000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,20,November,2020,17000,23000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,21,November,2020,17000,22000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,30,November,2020,15000,24000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,18,November,2021,26000,26000,26000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,25,November,2021,27000,27500,27200
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,3,November,2022,25000,28000,27000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,10,November,2022,27000,29000,28000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,14,November,2022,25000,27000,26000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,21,November,2022,24000,26000,25000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,1,December,2020,16000,23000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,5,December,2020,17000,23000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,7,December,2020,21000,22100,21500
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,8,December,2020,17500,21000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,9,December,2020,18000,21000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,11,December,2020,17000,22000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,16,December,2020,18000,22000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,17,December,2020,17000,23000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,18,December,2020,17500,22500,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,22,December,2020,22600,29000,25000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,29,December,2020,18200,28000,20000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,30,December,2020,22000,29000,25000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,31,December,2020,19000,29000,21000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,1,December,2021,24000,28000,25000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,6,December,2021,25000,26000,25500
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,7,December,2021,26000,28000,27500
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,17,December,2021,26000,29000,27500
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,22,December,2021,29000,29500,29200
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,24,December,2021,25720,29500,28000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,27,December,2021,26000,29000,28000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,9,December,2022,25000,29500,26000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,16,December,2022,24000,25000,24500
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,20,December,2022,24000,26000,25000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,27,December,2022,24000,26000,25000
Arecanut,Coca,Monsoon,June-September,November-January,Belthangadi,Dakshina Kannada,31,December,2022,23000,24000,23500
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,3,November,2020,33600,39691,39119
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,5,November,2020,34000,39300,38600
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,13,November,2020,34000,40300,37500
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,18,November,2020,39700,39700,39700
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,19,November,2020,37599,40219,39869
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,21,November,2020,34000,39500,36750
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,30,November,2020,38900,40319,39869
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,9,November,2021,47299,50368,48489
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,24,November,2021,48569,50169,49399
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,30,November,2021,44839,21289,49399
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,5,November,2022,40000,51000,48000
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,7,November,2022,49199,51599,50798
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,8,November,2022,48610,50599,49740
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,14,November,2022,49199,51599,50798
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,18,November,2022,48610,50599,49740
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,22,November,2022,45210,50799,49306
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,29,November,2022,46690,52699,49445
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,1,December,2020,34000,40300,37150
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,2,December,2020,39800,39800,39800
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,4,December,2020,34000,40300,37150
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,8,December,2020,40379,41021,40509
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,15,December,2020,40379,41021,40509
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,16,December,2020,40419,40519,40469
Arecanut,Bette,Monsoon,June-September,November-January,Koppa,Chikkamagaluru,21,December,2020,39119,43789,41349
